Dyads, Elaborating,Child Joint attention,Child Initiation,Dyadic Adaptation-Regulation,Fluency,Dyadic reciprocity,Acknowledging,Mean coherence
1,4,3,2,2.5,3,2.5,3.5,0.282993624
2,4.5,3.5,3.5,4,4,4,4.5,0.281850671
3,4.5,4,4,4,4,4.5,4.5,0.306939162
4,4,3.5,3.5,4.5,4,4.5,4,0.291097786
5,4,2.5,4,2.5,2.5,2.5,4,0.225846636
6,4.5,3.5,4,4,3.5,3.5,5,0.278245944
7,5,4,4,4.5,5,4.5,4.5,0.330352932
8,3,2.5,2.5,3,3,3,3.5,0.243310318
9,3.5,1.5,3.5,2.5,3,2.5,3.5,0.25118954
10,4.5,4,4,4.5,4,4.5,4.5,0.365257218
11,2,3.5,2,3,3,3,3.5,0.276428469
12,4,3.5,3.5,3,3,3,4,0.241788914
13,4,3.5,4,3.5,3.5,3.5,3.5,0.269327515
14,5,4.5,4.5,5,5,5,5,0.313493414
15,3.5,3,3.5,2.5,2.5,2.5,3.5,0.25332921
16,3,2.5,3,3,3,3,3,0.262402413
17,4.5,4,3.5,4,4,4,4,0.253180117
18,4.5,3.5,3,3.5,3.5,3.5,4.5,0.329665997
19,5,5,4.5,5,5,5,5,0.427585677
20,4.5,4.5,4,4.5,4.5,4.5,4.5,0.278369192
21,4,4.5,4.5,4,4,4,4,0.296904752
22,3,3.5,3.5,3.5,3.5,3.5,3.5,0.296868058
23,4.5,4.5,4.5,5,4.5,5,5,0.309795987
24,4,3.5,3,4,4,4,4,0.287763329
25,3,3,2.5,3,3,3,3,0.284846166
26,3.5,3,3,3,3,3,3.5,0.255224914
27,4.5,4,4.5,4.5,4,4.5,4,0.263898169
28,3.5,4.5,4,3.5,3.5,3.5,3.5,0.289403836
29,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.299258416
30,4,4,4,4,4,4,4,0.28450317
31,4,3.5,3.5,3.5,3.5,3.5,4,0.34858244
32,4.5,4.5,3.5,4,4,4,4,0.284211429
33,5,5,4.5,4.5,4.5,4.5,4.5,0.317165338
34,5,4.5,4.5,4.5,4.5,5,5,0.334273631
35,5,5,4.5,5,5,5,5,0.442436351
36,3.5,3.5,3.5,3,3,3,3.5,0.218655413
37,4,4,3.5,3.5,3.5,4,4,0.25547027
38,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.32406083
39,4.5,4.5,4,4.5,4.5,4.5,4.5,0.342344448
40,4.5,3.5,4.5,3.5,3.5,3.5,4.5,0.261688651
41,4,3,3,3.5,3.5,3.5,4,0.246565383
42,4.5,3.5,4.5,4.5,4.5,4.5,4.5,0.310007403
43,4.5,3.5,3.5,4,4,4,4.5,0.280171555
44,3,3,3,3,3,3,3,0.235465348
45,4,4,4,4,4,4,4,0.336650293
